unit,mean,std,n,individual_ratings
abolishing,4.5,1.2693,10,"[5, 4, 5, 5, 5, 5, 1, 5, 5, 5]"
altering,3.7,0.9487,10,"[3, 3, 5, 3, 3, 5, 3, 3, 4, 5]"
appearing,2.8,0.9189,10,"[3, 2, 3, 4, 2, 4, 3, 1, 3, 3]"
bleeding,3.3,0.6749,10,"[3, 5, 3, 3, 3, 4, 3, 3, 3, 3]"
blunting,3.7,0.9487,10,"[5, 4, 4, 2, 4, 5, 3, 3, 4, 3]"
boiling,3.7,0.8233,10,"[5, 5, 3, 3, 4, 4, 3, 3, 3, 4]"
burgeoning,2.9,0.8756,10,"[4, 2, 4, 3, 2, 2, 3, 4, 3, 2]"
corroding,3.8,1.4757,10,"[5, 5, 2, 5, 3, 4, 5, 5, 1, 3]"
coughing,3.0,1.2472,10,"[3, 3, 2, 5, 1, 3, 5, 3, 3, 2]"
cracking,3.3,0.6749,10,"[5, 3, 3, 3, 3, 4, 3, 3, 3, 3]"
crumbling,3.5,1.1785,10,"[5, 5, 3, 5, 3, 2, 3, 4, 2, 3]"
crying,2.9,0.8756,10,"[3, 3, 2, 3, 3, 3, 3, 1, 4, 4]"
decapitating,4.7,0.6749,10,"[5, 5, 5, 5, 4, 5, 3, 5, 5, 5]"
decomposing,3.1,1.792,10,"[5, 5, 1, 5, 3, 1, 5, 3, 2, 1]"
demonstrating,3.6,1.3499,10,"[5, 3, 5, 5, 4, 2, 2, 2, 5, 3]"
deteriorating,3.0,1.3333,10,"[5, 3, 2, 5, 3, 2, 3, 4, 2, 1]"
dissipating,2.6,0.8433,10,"[4, 3, 2, 3, 3, 2, 3, 3, 1, 2]"
doubling,3.5,0.9718,10,"[5, 3, 3, 5, 3, 2, 4, 3, 4, 3]"
dressing,3.5,1.8409,10,"[5, 1, 5, 3, 5, 4, 1, 1, 5, 5]"
embroidering,3.8,1.9322,10,"[5, 5, 5, 1, 5, 5, 1, 1, 5, 5]"
emptying,3.6,0.8433,10,"[5, 3, 3, 3, 3, 4, 3, 5, 4, 3]"
enduring,2.2,1.2293,10,"[1, 3, 4, 2, 1, 2, 3, 1, 4, 1]"
evolving,2.6,1.4298,10,"[4, 3, 2, 1, 2, 1, 5, 4, 3, 1]"
fashioning,3.6,1.5055,10,"[5, 3, 5, 1, 5, 4, 2, 2, 4, 5]"
fermenting,2.8,1.8135,10,"[5, 4, 1, 5, 3, 1, 5, 1, 2, 1]"
flickering,3.4,0.8433,10,"[4, 4, 3, 3, 4, 3, 3, 5, 2, 3]"
fraying,4.1,0.8756,10,"[5, 5, 5, 4, 3, 5, 3, 4, 3, 4]"
growing,2.7,1.4944,10,"[1, 3, 2, 5, 1, 3, 5, 3, 1, 3]"
hanging,3.5,1.0801,10,"[5, 3, 3, 5, 3, 2, 3, 5, 3, 3]"
hobbling,3.5,1.2693,10,"[1, 4, 4, 5, 2, 5, 3, 3, 4, 4]"
imagining,2.6,1.5055,10,"[3, 1, 5, 2, 1, 3, 2, 1, 5, 3]"
lolling,2.4,0.8433,10,"[3, 2, 4, 1, 2, 2, 2, 3, 2, 3]"
misspelling,3.1,1.7288,10,"[2, 5, 5, 1, 1, 5, 2, 2, 3, 5]"
occurring,2.5,0.8498,10,"[3, 3, 3, 1, 2, 3, 3, 3, 3, 1]"
opening,3.5,0.7071,10,"[5, 3, 4, 3, 3, 4, 3, 3, 4, 3]"
