unit,mean,std,n,individual_ratings,item_type
What did Barbara believe that Patricia wrote?,5.78,1.6449,50,"[6, 6, 4, 6, 5, 7, 7, 5, 3, 4, 7, 7, 5, 7, 6, 7, 7, 7, 6, 7, 6, 6, 4, 5, 5, 7, 6, 5, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 1, 5, 1, 7, 7, 4, 7, 4, 6, 1]",test
What did Barbara deceive that Karen would write?,1.66,1.2056,50,"[1, 1, 2, 1, 2, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 4, 3, 2, 1, 1, 1, 1, 1, 3, 1, 1, 7, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 1, 2, 1, 2, 1, 2, 4]",test
What did Charles believe that Christopher took?,5.84,1.6081,50,"[7, 7, 5, 7, 6, 7, 7, 6, 5, 2, 7, 7, 6, 6, 6, 7, 4, 7, 7, 7, 5, 7, 1, 6, 7, 6, 4, 6, 7, 7, 7, 7, 7, 7, 6, 7, 1, 7, 7, 4, 4, 6, 6, 7, 5, 5, 5, 7, 6, 2]",test
What did Charles call that Nancy stole?,2.0612,1.5194,49,"[1, 3, 4, 3, 3, 1, 2, 1, 1, 3, 2, 1, 1, 2, 1, 4, 1, 1, 1, 3, 1, 2, 1, 1, 1, 5, 1, 2, 7, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 3, 4, 1, 3, 1, 2, 1, 6, 6]",test
What did Charles daydream that James wrote?,4.54,1.7867,50,"[2, 5, 4, 4, 5, 7, 5, 5, 1, 5, 1, 4, 3, 6, 5, 1, 7, 4, 6, 4, 3, 6, 6, 5, 6, 5, 4, 4, 3, 7, 2, 7, 5, 7, 7, 5, 6, 3, 6, 3, 1, 5, 4, 5, 3, 1, 5, 7, 6, 6]",test
What did Charles deceive that David would take?,1.52,0.9739,50,"[1, 1, 2, 1, 3, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 4, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 5]",test
What did Charles glare that Thomas stole?,1.96,1.6655,50,"[1, 1, 2, 1, 2, 7, 5, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 5, 1, 7, 1, 3, 2, 6, 5]",test
What did Charles indicate that James wrote?,5.36,1.77,50,"[5, 6, 5, 5, 5, 7, 7, 6, 2, 1, 7, 7, 2, 7, 6, 7, 7, 7, 6, 6, 4, 7, 7, 6, 6, 7, 5, 5, 7, 7, 1, 7, 4, 6, 5, 7, 2, 5, 7, 2, 4, 7, 5, 4, 7, 3, 6, 6, 4, 4]",test
What did Charles rejoice that Jennifer stole?,2.8,1.7613,50,"[1, 4, 2, 2, 3, 6, 1, 3, 1, 1, 1, 5, 2, 1, 1, 3, 2, 6, 4, 4, 2, 3, 2, 5, 5, 5, 4, 3, 3, 7, 1, 7, 1, 1, 3, 1, 4, 4, 1, 1, 1, 2, 4, 1, 2, 1, 4, 3, 1, 5]",test
What did Christopher forget that Thomas took?,5.58,1.6174,50,"[7, 3, 6, 5, 6, 4, 7, 7, 3, 6, 7, 7, 5, 7, 2, 2, 7, 7, 7, 7, 6, 6, 5, 5, 5, 7, 6, 3, 7, 7, 7, 7, 6, 7, 7, 7, 5, 2, 4, 3, 4, 5, 6, 7, 7, 4, 6, 7, 3, 6]",test
