unit,mean,std,n,individual_ratings,item_type
Адель бросил Чарли,2.875,1.126,8,"[4, 2, 2, 3, 4, 4, 1, 3]",test
Адель бросила Чарли,5.0,0.0,7,"[5, 5, 5, 5, 5, 5, 5]",test
Адель бросили Чарли,1.8571,1.069,7,"[1, 2, 1, 1, 2, 2, 4]",test
Адель похвалил Франсуа,2.6667,1.633,6,"[5, 1, 2, 3, 1, 4]",test
Адель похвалила Франсуа,4.5556,0.7265,9,"[4, 5, 3, 5, 5, 4, 5, 5, 5]",test
Адель похвалили Франсуа,1.8182,1.4013,11,"[1, 1, 2, 4, 5, 1, 1, 1, 1, 2, 1]",test
Альфред записал Надежду,3.5556,1.1304,9,"[4, 2, 5, 3, 4, 5, 4, 2, 3]",test
Альфред записали Надежду,1.6667,0.7071,9,"[2, 1, 2, 2, 2, 1, 1, 3, 1]",test
Альфред обрадовал Хлою,4.4167,0.5149,12,"[4, 5, 4, 4, 4, 4, 5, 5, 5, 4, 5, 4]",test
Альфред обрадовали Хлою,2.1429,1.4639,7,"[1, 1, 1, 3, 5, 2, 2]",test
Альфреда записала Надежда,2.7,1.4181,10,"[2, 5, 4, 1, 1, 4, 2, 2, 2, 4]",test
Альфреда обрадовала Хлоя,3.0,1.4142,4,"[2, 2, 3, 5]",test
Арсений разлюбил Изабеллу,4.75,0.4629,8,"[5, 5, 4, 5, 5, 5, 4, 5]",test
Арсений разлюбили Изабеллу,1.6,0.5477,5,"[2, 2, 1, 2, 1]",test
Арсения разлюбила Изабелла,2.8182,1.328,11,"[3, 3, 4, 4, 1, 5, 1, 2, 2, 4, 2]",test
Борис обидел Надежду,4.8571,0.378,7,"[4, 5, 5, 5, 5, 5, 5]",test
Борис обидели Надежду,1.5455,0.6876,11,"[1, 2, 2, 2, 3, 1, 1, 2, 1, 1, 1]",test
Борис спросил Хлою,4.3333,0.7071,9,"[4, 4, 5, 5, 5, 5, 4, 3, 4]",test
Борис спросили Хлою,2.0,1.1547,7,"[1, 2, 3, 1, 4, 2, 1]",test
Бориса обидела Надежда,3.25,1.3887,8,"[1, 3, 3, 3, 5, 4, 5, 2]",test
Бориса спросила Хлоя,2.8333,1.472,6,"[3, 2, 5, 1, 4, 2]",test
Брендон поздравил Саманту,4.7143,0.488,7,"[5, 5, 4, 4, 5, 5, 5]",test
Брендон поздравили Саманту,1.3846,0.6504,13,"[1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 2]",test
Брендон покинул Марию,4.0,1.0,9,"[5, 2, 4, 4, 5, 4, 5, 4, 3]",test
Брендон покинули Марию,1.5,1.0,4,"[1, 3, 1, 1]",test
Брендона поздравила Саманта,3.5556,1.3333,9,"[2, 2, 5, 5, 3, 4, 2, 4, 5]",test
Брендона покинула Мария,2.875,1.2464,8,"[2, 2, 2, 2, 5, 4, 4, 2]",test
Бруно вспомнил Скарлет,4.5556,0.527,9,"[4, 5, 4, 4, 4, 5, 5, 5, 5]",test
Бруно вспомнила Скарлет,2.5556,1.236,9,"[4, 2, 2, 3, 2, 5, 2, 1, 2]",test
Бруно вспомнили Скарлет,1.5455,0.5222,11,"[2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2]",test
Бруно повторил Кейт,1.8571,1.4639,7,"[4, 1, 4, 1, 1, 1, 1]",test
Бруно повторила Кейт,2.4615,1.3914,13,"[4, 5, 1, 2, 4, 2, 1, 1, 4, 2, 1, 3, 2]",test
Бруно повторили Кейт,1.75,0.7071,8,"[3, 2, 1, 2, 2, 2, 1, 1]",test
Вера увидела Арсения,4.8333,0.3892,12,"[5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]",test
Вера увидели Арсения,2.0,1.7321,5,"[2, 1, 1, 1, 5]",test
Вера усыпила Брендона,4.0,1.1547,10,"[4, 2, 4, 5, 5, 5, 2, 4, 5, 4]",test
Вера усыпили Брендона,1.375,0.744,8,"[1, 1, 1, 3, 1, 1, 2, 1]",test
Веру увидел Арсений,3.75,1.165,8,"[5, 3, 3, 5, 4, 5, 3, 2]",test
Веру усыпил Брендон,3.3636,0.9244,11,"[2, 4, 3, 4, 4, 2, 4, 2, 4, 4, 4]",test
Вильям вспомнил Марию,5.0,0.0,3,"[5, 5, 5]",test
Вильям вспомнили Марию,2.5556,1.6667,9,"[2, 2, 2, 1, 1, 1, 4, 5, 5]",test
Вильям повторил Саманту,2.4444,1.1304,9,"[4, 2, 2, 3, 2, 1, 4, 3, 1]",test
Вильям повторили Саманту,1.6364,0.9244,11,"[2, 2, 2, 2, 1, 1, 4, 1, 1, 1, 1]",test
Вильяма вспомнила Мария,3.1111,1.3642,9,"[2, 4, 4, 1, 5, 2, 2, 4, 4]",test
Вильяма повторила Саманта,2.0,0.0,2,"[2, 2]",test
Владимир узнал Регину,4.7778,0.6667,9,"[5, 5, 5, 5, 3, 5, 5, 5, 5]",test
Владимир узнали Регину,2.2222,1.6415,9,"[5, 1, 5, 2, 2, 1, 2, 1, 1]",test
Владимир услышал Ольгу,4.4286,1.1339,7,"[5, 5, 4, 5, 5, 2, 5]",test
Владимир услышали Ольгу,2.1429,1.6762,7,"[4, 1, 2, 1, 1, 1, 5]",test
Владимира узнала Регина,3.7143,1.1127,7,"[4, 3, 4, 5, 2, 5, 3]",test
Владимира услышала Ольга,4.0,0.9258,8,"[4, 4, 5, 4, 2, 4, 4, 5]",test
Джейкоб выручил Регину,4.3571,1.1507,14,"[5, 5, 2, 5, 5, 5, 5, 5, 4, 5, 2, 5, 3, 5]",test
Джейкоб выручили Регину,1.875,1.126,8,"[2, 1, 2, 1, 1, 1, 3, 4]",test
Джейкоб привел Ольгу,4.7778,0.441,9,"[5, 5, 5, 4, 5, 5, 5, 4, 5]",test
Джейкоб привели Ольгу,1.625,0.744,8,"[1, 2, 2, 1, 1, 1, 3, 2]",test
Джейкоба выручила Регина,4.375,1.0607,8,"[4, 5, 2, 5, 5, 4, 5, 5]",test
Джейкоба привела Ольга,4.2308,1.0127,13,"[5, 5, 2, 5, 5, 4, 5, 5, 5, 3, 4, 3, 4]",test
Джейн понял Бруно,3.625,1.4079,8,"[2, 5, 2, 4, 4, 5, 5, 2]",test
Джейн поняла Бруно,4.8,0.4472,5,"[5, 5, 4, 5, 5]",test
Джейн поняли Бруно,1.2,0.4216,10,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",test
Джейн рассердил Тео,2.3333,1.0,9,"[4, 2, 4, 2, 2, 2, 1, 2, 2]",test
Джейн рассердила Тео,4.5,0.8367,6,"[5, 5, 3, 5, 5, 4]",test
Джейн рассердили Тео,1.8182,0.7508,11,"[2, 1, 2, 3, 3, 1, 1, 2, 2, 2, 1]",test
Джо обидел Линдси,4.4,1.2649,10,"[5, 5, 5, 5, 5, 4, 1, 4, 5, 5]",test
Джо обидела Линдси,3.0,1.5811,5,"[3, 1, 5, 4, 2]",test
Джо обидели Линдси,1.3333,0.5,9,"[1, 1, 2, 1, 1, 2, 1, 1, 2]",test
