unit,mean,std,n,individual_ratings,item_type
It is in the church choir that he sings.,2.7097,1.039,31,"[4, 4, 1, 3, 2, 4, 2, 2, 2, 4, 2, 2, 5, 4, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 3, 4, 4, 1, 4, 2, 2]",test
It is the church choir that he sings in.,3.8276,1.0025,29,"[5, 5, 3, 4, 4, 5, 5, 5, 2, 2, 4, 4, 4, 5, 3, 2, 2, 4, 4, 4, 5, 4, 3, 4, 3, 4, 5, 4, 3]",test
It was Ellen's project that the discussion resulted in.,2.4667,0.9732,30,"[2, 3, 1, 2, 3, 2, 5, 1, 2, 1, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 4, 1, 2, 3, 2, 4, 4, 2]",test
It was a better world that he dreamed about.,3.6857,1.0508,35,"[4, 2, 3, 5, 4, 4, 3, 5, 4, 3, 5, 5, 2, 4, 3, 4, 4, 4, 2, 5, 3, 4, 4, 4, 5, 4, 5, 3, 4, 5, 3, 3, 1, 2, 4]",test
It was a guitar that he traded in.,3.9655,0.9056,29,"[3, 4, 4, 5, 4, 5, 4, 4, 3, 2, 2, 4, 4, 4, 5, 3, 3, 4, 5, 4, 5, 3, 5, 4, 4, 3, 5, 5, 5]",test
It was a heated debate that her speech brought about.,3.0741,0.9578,27,"[3, 4, 3, 2, 4, 4, 4, 3, 3, 3, 4, 2, 3, 2, 3, 2, 3, 2, 5, 2, 5, 2, 2, 4, 3, 2, 4]",test
It was a new idea that she toyed with.,3.8125,0.8958,32,"[4, 4, 4, 1, 4, 3, 4, 4, 5, 5, 5, 3, 5, 4, 4, 3, 3, 4, 5, 5, 4, 4, 2, 3, 4, 4, 3, 4, 3, 4, 4, 4]",test
It was a peaceful town that they settled in.,4.0741,1.1068,27,"[4, 2, 5, 5, 5, 3, 4, 5, 5, 5, 3, 3, 1, 4, 4, 5, 4, 5, 3, 5, 3, 5, 5, 5, 4, 5, 3]",test
It was a small village that they resided in.,4.1892,0.9672,37,"[4, 5, 5, 1, 4, 4, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 3, 4, 2, 4, 5, 4, 5, 3, 5, 5, 3, 5, 5, 4, 4, 5, 4, 3, 4, 5, 5]",test
It was about a better world that he dreamed.,2.72,1.2083,25,"[4, 2, 3, 2, 4, 1, 4, 2, 4, 4, 2, 2, 4, 1, 2, 2, 1, 3, 2, 3, 4, 4, 5, 2, 1]",test
